PosX,PosY;Width;Height;Type;Color
62,127;163;6;Rechteck;-16776961
131,218;108;6;Rechteck;-16776961
230,85;6;141;Rechteck;-16776961
223,111;226;6;Rechteck;-16776961
444,186;6;134;Rechteck;-16776961
426,162;6;72;Rechteck;-16776961
425,129;6;33;Rechteck;-16776961
422,88;6;37;Rechteck;-16776961
322,206;58;6;Rechteck;-16776961
345,161;107;6;Rechteck;-16776961
339,53;6;111;Rechteck;-16776961
83,85;116;6;Rechteck;-16776961
490,177;6;66;Rechteck;-16776961
496,81;6;41;Rechteck;-16776961
410,50;86;6;Rechteck;-16776961
