PosX,PosY;Width;Height;Type;Color
408,439;6;210;Rechteck;-16776961
135,102;6;223;Rechteck;-16776961
175,351;178;6;Rechteck;-16776961
302,431;110;6;Rechteck;-16776961
293,184;161;6;Rechteck;-16776961
491,145;124;6;Rechteck;-16776961
42,387;33;6;Rechteck;-16776961
442,269;6;403;Rechteck;-16776961
428,228;6;28;Rechteck;-16776961
294,211;6;202;Rechteck;-16776961
242,399;6;244;Rechteck;-16776961
507,192;499;6;Rechteck;-16776961
531,103;341;6;Rechteck;-16776961
327,450;241;6;Rechteck;-16776961
224,448;6;194;Rechteck;-16776961
310,58;400;6;Rechteck;-16776961
269,17;40;6;Rechteck;-16776961
482,425;49;6;Rechteck;-16776961
