Kategorie;Frage;Antwort;Phase;Richtige;Falsche;Datum
Allgemein;Dismembration;Zerfall oder Zerteilung eines Staates in mehrere neue Staaten;1;0;0;22.05.2016
Allgemein;Sezession;Loslösung einzelner Landesteile aus einem bestehenden Staat;1;0;0;22.05.2016
Allgemein;dezimieren;sich stark verringern, abnehmen;1;0;0;29.05.2016
Allgemein;olig;wenig;1;0;0;01.06.2016
Allgemein;poly;viel;1;0;0;01.06.2016
Allgemein;mono;ein;1;0;0;01.06.2016
Allgemein;Innovation;Neuerung, Erneuerung;1;0;0;01.06.2016
Allgemein;Kartell;Zusammenschluss rechtlich selbstständiger Unternehmen einer Branche;1;0;0;01.06.2016
Allgemein;Prokura;an Mitarbeiter erteilte geschäftliche Vertretungsmacht;1;0;0;01.06.2016
Allgemein;haptisch;Fühltyp;1;0;0;01.06.2016
Allgemein;Kurzzeitgedächtnis;30-60sek;1;0;0;01.06.2016
Allgemein;Vier-Ohren-Modell;Sache, Selbstoffenbarung, Beziehung, Appell;1;0;0;01.06.2016
Allgemein;Doppelstrich-Q;Menge der rationalen Zahlen;1;0;0;01.06.2016
Allgemein;Einheit Lichtstärke;Candela;1;0;0;01.06.2016
Allgemein;Ordinalzahlen;erste, zweite;1;0;0;01.06.2016
Allgemein;Kardinalzahlen;eins, zwei;1;0;0;01.06.2016
Allgemein;Wann war der Ausbruch des Vesuvs bei Pompeji?;24. August 79 n. Chr.;1;0;0;16.06.2016
Allgemein;intrigant;hinterhältig;1;0;0;06.07.2016
Allgemein;antisemitisch;feindlich gegenüber den Juden;1;0;0;06.07.2016
Allgemein;Veterinärmedizin;Tiermedizin;1;0;0;10.08.2016
Allgemein;Epidemie;Krankheit ist örtlich begrenzt;1;0;0;10.08.2016
Allgemein;Pandemie;nicht örtlich beschränkte Krankheit;1;0;0;10.08.2016
Allgemein;feudal;adelig;1;0;0;10.08.2016
Allgemein;Schwarzer Tod;Pest von 1348-1358, Ursprung in Italien, ein Drittel der europäischen Bevölkerung starben;1;0;0;10.08.2016
