1;NordavindDNB|riolu!;378069581
2;Law¬тєснηо.STIHL;310871799
3;racehans.STIHL;121749751
4;»Kripke;96562077
5;»мєс¬ｱんﾉﾚ〢ғฟ๏;42546792
6;!dameager!;34722405
7;TnT|Lucario;32816639
8;«厶ア»Runner;27293371
9;λиפгıIZeŗefIıмєс;24558427
10;Ŀĸя¬Τυявοॆ;20793913
11;ғฟ๏〢Schmaniol.STIHL;19117292
12;always²;18414034
13;(((๙ครใวคภツ.8.1;13723867
14;Spee:D;10849180
15;#U.1.L.Constantin;10398983
16;TSMGranaDy!STIHL;10231168
17;»ЯтА«Blizz;10030718
18;DerruppigePinkipu;9929527
19;»мєс¬TMshocko.0;9339976
20;ѕтух.STIHL;8409726
21;Visionary;7382852
22;λиפгıIjooey;7296437
23;fвĭŴέŖήi;6823181
24;Steffen93;6262857
25;»кıllєя«''';5898194
26;ฬคงε.PhilKos;5630744
27;|lDgAl|ИैaHCॆo3;5266067
28;Chaos;5239090
29;Ŀĸя¬M4x1.STIHL;5105256
30;heinrichsson;5079635
31;~Zaitsev`;4939256
32;|lDgAl|HeXeRMaNBF;4756139
33;TnT.ezom;4610561
34;euklid;4559580
35;teddyleins_zweit_frau;4273479
36;chen65;4230327
37;TnTpassiI|GC;4133189
38;тв»פаякι!;3810597
39;ғฟ๏.Logic;3805478
40;Ebro;3803467
41;Akira;3738639
42;|ηงίऽ๋ίъוэ«đampf॥;3546589
43;»TaC«ङैɷÐɷMツ;3460178
44;Ŀυсĸеяѕ¬Ðēτเתน;3410706
45;-NukeDragon-;3143912
46;XR~Mr.Bones;3114714
47;Ŗėvėη'Дтzε-Ρεηĝ;3057645
48;exÐ|Bladee;3023389
49;leandagu';3005814
50;nbspŁĬżť@Z;2716477
51;ςс๙єωの¬メูล๏๙ื็ภ����;2707979
52;Neyter;2668490
53;Jaeger;2564442
54;GNDjinho;2519104
55;Һקςоופεוѕε;2518667
56;|lDgAl|ИैaHCॆo3;2500692
57;989.kH;2426414
58;.asozialer.hal.ko;2393869
59;Dunno|Neon;2359649
60;10°Lนkε«;2334479
61;Ńitřoχツ;2262306
62;Јσнηηуғιχะ;2186608
63;Maddin-GÖ;2110655
64;хγ»looo;2097627
65;Junidan龍;2092532
66;EasyืX;2084880
67;UwS||Franzis²;2071740
68;ΧЯ//Асίδ*GG;2024998
69;Hyker///нот;2019203
70;Mini;1986726
71;Germany///Paddi.iGn;1983322
72;Nasenbär;1976200
73;apΧ.คใεאD;1943128
74;Schnuffi;1942601
75;thewne;1935423
76;sebi;1926201
77;Crucial;1919445
78;&#60DoPN&#62Jan;1877817
79;zero|Skywalker;1877155
80;ѕтι¬Gै२६ॆiिु〤;1768966
81;Spud_Murphy;1766752
82;LSD|Dengel;1757693
83;oldschmaniaccount;1755590
84;Achmedツ;1754032
85;פэ//ไ»є๔๔уッєу;1742770
86;ŋξţźÔňξ;1724574
87;ScrewD.¬Kenji;1705169
88;meow²;1689078
89;FISCH;1683965
90;UGUMULUGU;1662982
91;Penisotter;1654604
92;ѕקεεの»Alecz;1627219
93;TnTのiהgò.Óｯ;1620146
94;»хтвн;1619527
95;ĐξvïLツ°;1613595
96;Frosch;1603978
97;da¢SP´killervirus.シ;1594451
98;DrehspießfleischimBrot;1586660
99;ЯҒ»Ritus!;1585943
100;νѕρ.Luuuke!;1564233
